id,symbol,avg_diff|float,p_val|float,_hprdClass,_expr,_geneLists,gene.firstpart,gene.secondpart,identifier,UCSC_converted
TGFB2,TGFB2,1.58765,4.54e-12,Growth factor,BrainSpLMD|7042;BrainSpMouseDev|21567,"OMIM|190220;HPO|7042|Abnormality of the iris, Abnormality of the sternum, Aortic dissection, Aortic regurgitation, Arachnodactyly, Arterial tortuosity, Ascending aortic dissection, Autosomal dominant inheritance, Bruising susceptibility, Cardiomegaly, Chest pain, Coronary artery disease, Cutis marmorata, Cystic medial necrosis of the aorta, Descending aortic dissection, Dural ectasia, Exertional dyspnea, High palate, Hypertension, Inguinal hernia, Joint hyperflexibility, Left ventricular failure, Mitral valve prolapse, Paroxysmal dyspnea, Pes planus, Retrognathia, Scoliosis, Tall stature",TGFB2,,,TGFB2
SOX9,SOX9,1.58544,0,Transcription factor,"BrainSpLMD|6662;Eurexp|euxassay_002633|axial skeleton, basisphenoid bone, calyces, exoccipital bone, femur, lung, mesenchyme, naris, nasal septum, nucleus pulposus, orbito-sphenoid, pancreas, pectoral girdle and thoracic body wall, pharyngo-tympanic tube, trachea, turbinate, ventricular layer, vibrissa;BrainSpMouseDev|20444","OMIM|608160;HPO|6662|11 pairs of ribs, Abnormal heart morphology, Abnormal scrotal rugation, Abnormal sex determination, Abnormality of male internal genitalia, Abnormality of the labia, Abnormality of the pharynx, Abnormality of the scrotum, Abnormality of the uterus, Absent sternal ossification, Ambiguous genitalia, Anterior tibial bowing, Apnea, Autosomal dominant inheritance, Azoospermia, Bifid scrotum, Blepharophimosis, Cleft palate, Clitoral hypertrophy, Cryptorchidism, Decreased fertility, Decreased fertility in females, Decreased serum estradiol, Decreased testicular size, Decreased testosterone in males, Delayed puberty, Depressed nasal bridge, Depressed nasal ridge, Disproportionate short-limb short stature, Dysgerminoma, Elevated circulating follicle stimulating hormone level, Elevated circulating luteinizing hormone level, Failure to thrive, Female external genitalia in individual with 46,XY karyotype, Femoral bowing, Fibular hypoplasia, Flat face, Generalized hypotonia, Glossoptosis, Gonadal dysgenesis, Gonadoblastoma, Gynecomastia, Hearing impairment, High forehead, Hip dislocation, Hydrocephalus, Hydronephrosis, Hypergonadotropic hypogonadism, Hypertelorism, Hypogonadotrophic hypogonadism, Hypoplasia of penis, Hypoplasia of the vagina, Hypoplastic cervical vertebrae, Hypoplastic iliac wing, Hypoplastic inferior ilia, Hypoplastic scapulae, Hypospadias, Kyphoscoliosis, Laryngomalacia, Low-set ears, Macrocephaly, Male hypogonadism, Male infertility, Male pseudohermaphroditism, Micrognathia, Micropenis, Narrow chest, Neonatal respiratory distress, Neonatal short-limb short stature, Osteoporosis, Polycystic ovaries, Polyhydramnios, Poorly ossified cervical vertebrae, Primary amenorrhea, Proptosis, Recurrent fractures, Respiratory distress, Respiratory insufficiency, Scoliosis, Scrotal hypoplasia, Sex reversal, Short neck, Short palpebral fissure, Short stature, Shortening of all phalanges of fingers, Shortening of all phalanges of the toes, Skin dimples, Small abnormally formed scapulae, Small face, Sparse axillary hair, Sparse pubic hair, Streak ovary, Talipes equinovarus, Testicular dysgenesis, Thin ribs, Thoracic hypoplasia, Tibial bowing, Tracheobronchomalacia, True hermaphroditism, Upper airway obstruction, Urogenital sinus anomaly, Vanishing testis, Wide anterior fontanel",SOX9,,,SOX9
WSCD1,WSCD1,1.57499,9.65e-09,Integral membrane protein,"BrainSpLMD|23302;Eurexp|euxassay_007047|anterior, brain, calyces, cardiac muscle, ductus deferens, incisor, inner ear, mesenchyme, molar, olfactory, optic II, pelvis, posterior, renal/urinary system, retina, spinal cord, thymus primordium, ureter, vagus X, vertebral axis muscle system, vomeronasal organ","",WSCD1,,,WSCD1
DACH1,DACH1,1.57415,0,Transcription regulatory protein,"BrainSpLMD|1602;Eurexp|euxassay_012739|associated mesenchyme, bladder, calyces, cortex, dermis, dorsal root ganglion, facial VII, left lung, mantle layer, meninges, midgut, olfactory, oral region, pelvis, penis, retina, right lung, stomach, thymus primordium, trigeminal V, ureter, urethra, ventricular layer, vestibulocochlear VIII, vomeronasal organ;BrainSpMouseDev|12914",OMIM|603803,DACH1,,,DACH1
MOV10,MOV10,1.57112,0,Unclassified,"BrainSpLMD|4343;Eurexp|euxassay_012341|anterior, midgut, olfactory, otic capsule, pituitary, stomach, turbinate bones",OMIM|610742,MOV10,,,MOV10
LAMA1,LAMA1,1.56596,3.41e-12,Extracellular matrix protein,"BrainSpLMD|284217;Eurexp|euxassay_011017|epithelium, glomeruli, lens, meninges, renal/urinary system, ventricular layer;BrainSpMouseDev|16544","SFARI||Autism, 4 - Minimal evidence;OMIM|150320;HPO|284217|Abnormality of the periventricular white matter, Amblyopia, Autosomal recessive inheritance, Cerebellar cyst, Cerebellar dysplasia, Cerebellar vermis hypoplasia, Delayed speech and language development, Dilated fourth ventricle, Motor delay, Myopia, Nystagmus, Oculomotor apraxia, Retinal atrophy, Retinal dystrophy, Retinal thinning, Strabismus, Variable expressivity",LAMA1,,,LAMA1
HBEGF,HBEGF,1.55083,6.2e-11,Growth factor,BrainSpLMD|1839;BrainSpMouseDev|14976,OMIM|126150,HBEGF,,,HBEGF
RP1.104O17.1,RP1.104O17.1,1.54828,0,"","","",RP1,104O17,1,RP1-104O17
F3,F3,1.54196,0,Coagulation factor,"BrainSpLMD|2152;Eurexp|euxassay_009157|axial muscle, calyces, epithelium, larynx, left lung, midgut, olfactory, oral epithelium, pelvis, pharyngo-tympanic tube, pyloric region, rectum, right lung, ventricular layer, vibrissa",OMIM|134390,F3,,,F3
JDP2,JDP2,1.53865,3.32e-10,Transcription factor,"BrainSpLMD|122953;Eurexp|euxassay_016441|axial skeleton, dorsal root ganglion, facial VII, femur, glossopharyngeal IX, humerus, mandible, mantle layer, maxilla, neural retina, phalanx, scapula, trigeminal V, vagus X, ventral grey horn;BrainSpMouseDev|57385",OMIM|608657,JDP2,,,JDP2
NR4A1,NR4A1,1.53581,0,Nuclear receptor,"BrainSpLMD|3164;Eurexp|euxassay_007083|adrenal gland, clavicle, mandible, peripheral nervous system, submandibular gland primordium, testis, vibrissa;BrainSpMouseDev|15145",OMIM|139139,NR4A1,,,NR4A1
MTHFD1L,MTHFD1L,1.53271,3.46e-12,Enzyme: Ligase,"BrainSpLMD|25902;Eurexp|euxassay_002080|Meckel's cartilage, foregut-midgut junction, hindgut, lobe, midgut, neural retina, orbito-sphenoid, rectum, submandibular gland primordium, thymus primordium, ventricular layer, vibrissa",OMIM|611427,MTHFD1L,,,MTHFD1L
PLOD2,PLOD2,1.52692,4.35e-10,Enzyme: Hydroxylase,"BrainSpLMD|5352;Eurexp|euxassay_008722|axial skeleton, basisphenoid bone, clavicle, exoccipital bone, mesenchyme, nasal septum, otic capsule, petrous part, rib, sternum, tongue, trachea, turbinate","OMIM|601865;HPO|5352|Arthrogryposis multiplex congenita, Autosomal recessive inheritance, Elbow flexion contracture, Femoral bowing, Flexion contracture, Hydroxyprolinuria, Increased susceptibility to fractures, Inguinal hernia, Joint stiffness, Knee flexion contracture, Kyphosis, Osteopenia, Osteoporosis, Pectus carinatum, Platyspondyly, Pterygium, Recurrent fractures, Respiratory insufficiency, Scoliosis, Short stature, Talipes equinovarus, Triangular face, Wormian bones",PLOD2,,,PLOD2
HYDIN,HYDIN,1.52653,9.94e-08,Unclassified,"BrainSpLMD|54768;Eurexp|euxassay_013571|choroid invagination, choroid plexus, roof plate","SFARI||Autism, 4 - Minimal evidence;OMIM|610812;HPO|54768|Autosomal recessive inheritance, Bronchiectasis, Ciliary dyskinesia, Infantile onset, Nasal polyposis, Recurrent bronchitis, Recurrent otitis media, Recurrent respiratory infections, Recurrent sinusitis, Respiratory insufficiency due to defective ciliary clearance, Rhinitis",HYDIN,,,HYDIN
TMEM47,TMEM47,1.51917,0,Integral membrane protein,"BrainSpLMD|83604;Eurexp|euxassay_008336|ventral grey horn, ventricular layer, vertebral axis muscle system",OMIM|300698,TMEM47,,,TMEM47
THBS3,THBS3,1.51782,1.67e-15,Extracellular matrix protein,"BrainSpLMD|7059;Eurexp|euxassay_010545|brain, mesenchyme, spinal cord;BrainSpMouseDev|21586",OMIM|188062,THBS3,,,THBS3
WWC1,WWC1,1.51362,4.11e-15,Unclassified,BrainSpLMD|23286,OMIM|610533,WWC1,,,WWC1
FILIP1,FILIP1,1.51271,6.13e-09,Unclassified,"BrainSpLMD|27145;Eurexp|euxassay_011444|adrenal gland, wall",OMIM|607307,FILIP1,,,FILIP1
COL27A1,COL27A1,1.51158,3.13e-14,Extracellular matrix protein,"BrainSpLMD|85301;Eurexp|euxassay_016233|Meckel's cartilage, axial skeleton, clavicle, cricoid, exoccipital bone, femur, fibula, hyoid bone, lung, mesenchyme, metatarsus, nasal septum, orbito-sphenoid, otic capsule, pelvic girdle, phalanx, rib, sternum, temporal bone, thyroid, tibia, trachea, turbinate, vibrissa","OMIM|608461;HPO|85301|Autosomal recessive inheritance, Dislocated radial head, Hypertelorism, Prominent forehead, Scoliosis, Short stature, Wide nasal bridge",COL27A1,,,COL27A1
ARAP2,ARAP2,1.51132,0,GTPase activating protein,BrainSpLMD|116984,OMIM|606645,ARAP2,,,ARAP2
VIM,VIM,1.5025,0,Cytoskeletal protein,BrainSpLMD|7431,"OMIM|193060;HPO|7431|Autosomal dominant inheritance, Congenital onset, Diffuse nuclear cataract, Posterior polar cataract, Pulverulent cataract",VIM,,,VIM
NACC2,NACC2,1.50106,1.82e-12,Unclassified,"BrainSpLMD|138151;Eurexp|euxassay_003015|basal plate, calyces, incisor, limb, marginal layer, molar, submandibular gland primordium, tail",OMIM|615786,NACC2,,,NACC2
DTNA,DTNA,1.49577,0,Unclassified,"BrainSpLMD|1837;Eurexp|euxassay_010455|dorsal root ganglion, facial VII, glossopharyngeal IX, olfactory, stomach, trigeminal V, ventral grey horn, ventricular layer, vestibular component, vestibulocochlear VIII","OMIM|601239;HPO|1837|Atrial fibrillation, Autosomal dominant inheritance, Congestive heart failure, Hypoplastic left heart, Left ventricular hypertrophy, Left ventricular noncompaction, Left ventricular noncompaction cardiomyopathy, Mitral regurgitation, Patent ductus arteriosus, Sudden cardiac death, Ventricular arrhythmia, Ventricular septal defect",DTNA,,,DTNA
MID1,MID1,1.49576,0,Transcription regulatory protein;Ubiquitin proteasome system protein,"BrainSpLMD|4281;Eurexp|euxassay_013835|excretory component, marginal layer, neural retina, ventricular layer;BrainSpMouseDev|17087","OMIM|300552;HPO|4281|Abnormal heart morphology, Abnormality of the nasopharynx, Agenesis of corpus callosum, Anal atresia, Anteverted nares, Aspiration, Cleft palate, Cleft upper lip, Cryptorchidism, Dysphagia, Esophageal atresia, Frontal bossing, Gastroesophageal reflux, Global developmental delay, Heterogeneous, High palate, Hypertelorism, Hypospadias, Posterior pharyngeal cleft, Prominent forehead, Smooth philtrum, Telecanthus, Thin upper lip vermilion, Tracheoesophageal fistula, Wide nasal bridge, Widow's peak, X-linked recessive inheritance",MID1,,,MID1
PPM1K,PPM1K,1.4932,0,Serine/threonine phosphatase,BrainSpLMD|152926,OMIM|611065;HPO|152926|Elevated plasma branched chain amino acids,PPM1K,,,PPM1K
ATP1A2,ATP1A2,1.49261,0,ATPase,"BrainSpLMD|477;Eurexp|euxassay_001505|brain, cervical, cervico-thoracic, cochlea, dorsal root ganglion, facial VII, forelimb, glossopharyngeal IX, hindlimb, mesenchyme, naris, neural retina, spinal cord, stroma, thoracic, tongue, trigeminal V, turbinate bones, vagus X, vertebral axis muscle system, vestibulocochlear VIII;BrainSpMouseDev|62830","OMIM|182340;HPO|477|Abnormality of movement, Aphasia, Apraxia, Ataxia, Autosomal dominant inheritance, Blurred vision, Choreoathetosis, Coma, Confusion, Diplopia, Drowsiness, Dysarthria, Dysphasia, Dystonia, Episodic ataxia, Episodic hemiplegia, Episodic quadriplegia, Fever, Generalized tonic-clonic seizures, Hemiparesis, Hemiplegia, Hemiplegia/hemiparesis, Heterogeneous, Incomplete penetrance, Intellectual disability, Mental deterioration, Migraine with aura, Nystagmus, Seizures, Transient unilateral blurring of vision, Vertigo",ATP1A2,,,ATP1A2
RAB31,RAB31,1.49043,5.07e-14,GTPase,"BrainSpLMD|11031;Eurexp|euxassay_003248|axial muscle, basal plate, cervical, cervico-thoracic, dorsal root ganglion, glossopharyngeal IX, submandibular gland primordium, thoracic, trigeminal V, vagus X, vibrissa",OMIM|605694,RAB31,,,RAB31
RFX4,RFX4,1.4901,0,DNA binding protein,BrainSpLMD|5992;Eurexp|euxassay_005798|ventricular layer;BrainSpMouseDev|46978,OMIM|603958,RFX4,,,RFX4
PELI2,PELI2,1.48465,0,Unclassified,"BrainSpLMD|57161;Eurexp|euxassay_014344|Meckel's cartilage, axial skeleton, basioccipital bone, basisphenoid bone, clavicle, femur, fibula, humerus, hyoid bone, nasal septum, orbito-sphenoid, otic capsule, pelvic girdle, petrous part, phalanx, radius, rib, scapula, tibia, turbinate bones, vault of skull",OMIM|614798,PELI2,,,PELI2
DMRTA2,DMRTA2,1.4846,0,Transcription factor,"",OMIM|614804,DMRTA2,,,DMRTA2
ZFP36,ZFP36,1.48457,0,RNA binding protein,BrainSpLMD|7538,OMIM|190700,ZFP36,,,ZFP36
ANXA1,ANXA1,1.48191,1.11e-16,Calcium binding protein,"BrainSpLMD|301;Eurexp|euxassay_004813|clavicle, epidermis, fundus region, left lung, mandible, oesophagus, oral epithelium, rib, right lung, stomach, submandibular gland primordium, thyroid, trachea, urethra, ventricular layer, vibrissa","SFARI||Autism, 3 - Suggestive evidence;OMIM|151690",ANXA1,,,ANXA1
SOAT1,SOAT1,1.47828,0,Enzyme: Acyltransferase,"BrainSpLMD|6646;Eurexp|euxassay_004596|adrenal gland, calyces, loop, midgut, stomach, turbinate bones",OMIM|102642,SOAT1,,,SOAT1
TMEM163,TMEM163,1.47538,2.39e-07,Unclassified,BrainSpLMD|81615,"",TMEM163,,,TMEM163
ANKRD20A1,ANKRD20A1,1.47404,2.65e-11,Unclassified,"","",ANKRD20A1,,,ANKRD20A1
CNN3,CNN3,1.46948,0,Cytoskeletal associated protein,"BrainSpLMD|1266;Eurexp|euxassay_009765|alimentary system, cardiovascular system, cavities and their linings, gland, integumental system, limb, mesenchyme, nervous system, renal/urinary system, reproductive system, respiratory system, sensory organ, tail, vertebral axis muscle system",OMIM|602374,CNN3,,,CNN3
CRYZ,CRYZ,1.46836,3.23e-14,Enzyme: Oxidoreductase,BrainSpLMD|1429,OMIM|123691,CRYZ,,,CRYZ
SPTSSA,SPTSSA,1.45753,1.08e-12,Unclassified,BrainSpLMD|171546,OMIM|613540,SPTSSA,,,SPTSSA
NOTCH2,NOTCH2,1.45451,0,Cell surface receptor,"BrainSpLMD|4853;Eurexp|euxassay_015406|alimentary system, cardiovascular system, cavities and their linings, choroid plexus, gland, integumental system, limb, marginal layer, meninges, mesenchyme, olfactory, renal/urinary system, reproductive system, respiratory system, skeleton, tail, ventricular layer, vertebral axis muscle system, vomeronasal organ;BrainSpMouseDev|17896","OMIM|600275;COSMIC||marginal zone lymphoma, DLBCL, bladder, Hajdu-Cheney syndrome, serpentine fibula-polycystic kidney syndrome;HPO|4853|Abnormality of the cardiac septa, Abnormality of the fingernails, Absent frontal sinuses, Anteverted nares, Arnold-Chiari malformation, Arthralgia, Atrial septal defect, Autosomal dominant inheritance, Basilar impression, Biconcave vertebral bodies, Bone pain, Brachydactyly, Broad forehead, Cervical instability, Cholestasis, Cholestatic liver disease, Coarse facial features, Conductive hearing impairment, Crowded carpal bones, Cryptorchidism, Decreased skull ossification, Dental malocclusion, Dislocated radial head, Dolichocephaly, Downslanted palpebral fissures, Downturned corners of mouth, Elongated sella turcica, Epicanthus, Failure to thrive, Foot acroosteolysis, Full cheeks, Generalized hirsutism, Genu valgum, Hearing impairment, Hematuria, High palate, Hirsutism, Hydrocephalus, Hypertelorism, Hypertension, Hypoplastic 5th lumbar vertebrae, Hypospadias, Inguinal hernia, Joint hyperflexibility, Joint laxity, Kyphoscoliosis, Large earlobe, Long eyelashes, Long nose, Long philtrum, Low-set ears, Macrocephaly, Micrognathia, Narrow mouth, Open bite, Osteolysis, Osteolytic defects of the phalanges of the hand, Osteopenia, Osteoporosis, Partial absence of toe, Patent ductus arteriosus, Pathologic fracture, Periodontitis, Peripheral pulmonary artery stenosis, Phenotypic variability, Platybasia, Pointed chin, Posterior embryotoxon, Premature loss of teeth, Prominent occiput, Proteinuria, Pulmonic stenosis, Recurrent fractures, Renal cyst, Renal hypoplasia, Renal insufficiency, Renal tubular acidosis, Scoliosis, Short distal phalanx of finger, Short nail, Short neck, Short stature, Short toe, Skeletal dysplasia, Synophrys, Tall lumbar vertebral bodies, Telecanthus, Tetralogy of Fallot, Thick eyebrow, Thin vermilion border, Triangular face, Umbilical hernia, Vertebral compression fractures, Wide nose, Wormian bones",NOTCH2,,,NOTCH2
PDGFD,PDGFD,1.45439,4.44e-16,Growth factor,BrainSpLMD|80310;BrainSpMouseDev|47626,OMIM|609673,PDGFD,,,PDGFD
PLAT,PLAT,1.45206,2.51e-10,Serine protease,BrainSpLMD|5327,"OMIM|173370;HPO|5327|Autosomal dominant inheritance, Hypercoagulability, Recurrent deep vein thrombosis",PLAT,,,PLAT
NFE2L2,NFE2L2,1.44634,0,Transcription factor,"BrainSpLMD|4780;Eurexp|euxassay_018087|larynx, midgut, rectum, stomach, submandibular gland primordium, thyroid, trachea;BrainSpMouseDev|17791","OMIM|600492;COSMIC||NSCLC, HNSCC",NFE2L2,,,NFE2L2
PPAP2B,PPAP2B,1.44192,0,"","","",PPAP2B,,,PPAP2B
IQGAP2,IQGAP2,1.43956,0,GTPase activating protein,"BrainSpLMD|10788;Eurexp|euxassay_013405|adrenal gland, incisor, intervertebral disc, lobe, mandible, mesenchyme, metanephros, midgut, oesophagus, skeletal muscle, stomach, thymus primordium, ventricular layer, vertebral axis muscle system, vertebral cartilage condensation",OMIM|605401,IQGAP2,,,IQGAP2
TGIF1,TGIF1,1.43465,1.78e-15,Transcription factor,"BrainSpLMD|7050;Eurexp|euxassay_007804|cortex, fundus region, hindgut, lung, midgut, oesophagus, rectum, testis, urethra, ventricular layer, vibrissa;BrainSpMouseDev|21574","OMIM|602630;HPO|7050|Absent nasal septal cartilage, Autosomal dominant inheritance, Depressed nasal bridge, Depressed nasal tip, Hypotelorism, Median cleft lip, Median cleft lip and palate, Ptosis, Semilobar holoprosencephaly",TGIF1,,,TGIF1
RCN1,RCN1,1.42887,1.1e-09,Calcium binding protein,"BrainSpLMD|5954;Eurexp|euxassay_006169|alimentary system, cardiovascular system, cavities and their linings, gland, integumental system, limb, mantle layer, peripheral nervous system, renal/urinary system, reproductive system, respiratory system, sensory organ, skeleton, tail, ventricular layer, vertebral axis muscle system;BrainSpMouseDev|19435",OMIM|602735,RCN1,,,RCN1
RHOC,RHOC,1.42423,4.79e-11,GTPase,BrainSpLMD|389,OMIM|165380,RHOC,,,RHOC
VCL,VCL,1.42243,0,Cytoskeletal associated protein,BrainSpLMD|7414,"OMIM|193065;HPO|7414|Autosomal dominant inheritance, Congestive heart failure, Dilated cardiomyopathy, Dyspnea, Endocardial fibrosis, Hypertrophic cardiomyopathy",VCL,,,VCL
HOPX,HOPX,1.42036,1.02e-13,Transcription regulatory protein,"BrainSpLMD|84525;Eurexp|euxassay_010529|anterior, atrium, external, lateral wall, mantle layer, midgut, ventricle, ventricular layer, vibrissa;BrainSpMouseDev|50159",OMIM|607275,HOPX,,,HOPX
NBPF10,NBPF10,1.42031,0,"","",OMIM|614000,NBPF10,,,NBPF10
INTU,INTU,1.41627,0,Unclassified,BrainSpLMD|27152,OMIM|610621,INTU,,,INTU
SFXN5,SFXN5,1.41509,2.01e-09,Transport/cargo protein,BrainSpLMD|94097;Eurexp|euxassay_014475|ventricular layer,OMIM|615572,SFXN5,,,SFXN5
PLCE1,PLCE1,1.4115,0,Guanine nucleotide exchange factor,"BrainSpLMD|51196;Eurexp|euxassay_014545|floor plate, floorplate","OMIM|608414;HPO|51196|Autosomal recessive inheritance, Childhood onset, Diffuse mesangial sclerosis, Edema, Focal segmental glomerulosclerosis, Hypoalbuminemia, Nephrotic syndrome, Progressive, Proteinuria, Stage 5 chronic kidney disease",PLCE1,,,PLCE1
NCKAP5,NCKAP5,1.40981,0,Unclassified,"BrainSpLMD|344148;Eurexp|euxassay_016857|brain, cochlea, epithelium, left lung, otic capsule, retina, right lung, spinal cord","SFARI||Autism, 4 - Minimal evidence;OMIM|608789",NCKAP5,,,NCKAP5
ARHGEF6,ARHGEF6,1.40211,1.47e-13,Guanine nucleotide exchange factor,BrainSpLMD|9459,"OMIM|300267;HPO|9459|Intellectual disability, X-linked recessive inheritance",ARHGEF6,,,ARHGEF6
ST13P4,ST13P4,1.39923,2.64e-05,"",BrainSpLMD|145165,"",ST13P4,,,ST13P4
FABP5,FABP5,1.3986,0,Transport/cargo protein,"Eurexp|euxassay_002194|axial skeleton, cervico-thoracic, dorsal root ganglion, glossopharyngeal IX, incisor, lobe, molar, naris, thoracic, thymus primordium, trigeminal V, vagus X, vibrissa","SFARI||Autism, 4 - Minimal evidence;OMIM|605168",FABP5,,,FABP5
SCRN1,SCRN1,1.39652,0,Protease,"BrainSpLMD|9805;Eurexp|euxassay_012592|cervical, cervico-thoracic, dorsal root ganglion, facial VII, floor plate, floorplate, glossopharyngeal IX, mantle layer, marginal layer, neural retina, olfactory, penis, thoracic, trigeminal V, vagus X, ventral grey horn, ventricular layer, vestibulocochlear VIII",OMIM|614965,SCRN1,,,SCRN1
GAB1,GAB1,1.39592,0,Adapter molecule,BrainSpLMD|2549,OMIM|604439,GAB1,,,GAB1
PAXIP1,PAXIP1,1.39573,2.44e-13,Transcription regulatory protein,BrainSpLMD|22976,OMIM|608254,PAXIP1,,,PAXIP1
AP001172.2,AP001172.2,1.39523,0,"","","",AP001172,2,,AP001172.2
TRIM9,TRIM9,1.39449,0,Unclassified,"BrainSpLMD|114088;Eurexp|euxassay_010509|mantle layer, molar, ventricular layer",OMIM|606555,TRIM9,,,TRIM9
BCAN,BCAN,1.38367,0,Adhesion molecule,"BrainSpLMD|63827;Eurexp|euxassay_018187|mantle layer, ventral grey horn, ventricular layer;BrainSpMouseDev|11818",OMIM|600347,BCAN,,,BCAN
NEBL,NEBL,1.38057,6.95e-07,Cytoskeletal associated protein,BrainSpLMD|10529,OMIM|605491;HPO|10529|Dilated cardiomyopathy,NEBL,,,NEBL
FABP5P7,FABP5P7,1.38023,0,"","","",FABP5P7,,,FABP5P7
S1PR1,S1PR1,1.37815,1.11e-16,G protein coupled receptor,BrainSpLMD|1901;BrainSpMouseDev|13387,OMIM|601974,S1PR1,,,S1PR1
ACTR3B,ACTR3B,1.37591,1.35e-05,Cytoskeletal associated protein,"BrainSpLMD|57180;Eurexp|euxassay_004135|olfactory lobe, ventricular layer","",ACTR3B,,,ACTR3B
TBC1D1,TBC1D1,1.37227,0,Unclassified,BrainSpLMD|23216,OMIM|609850,TBC1D1,,,TBC1D1
CSRNP1,CSRNP1,1.35678,5.07e-14,Unclassified,BrainSpLMD|64651,OMIM|606458,CSRNP1,,,CSRNP1
PDPN,PDPN,1.35107,7.77e-16,Water channel,"BrainSpLMD|10630;Eurexp|euxassay_002001|axial skeleton, submandibular gland primordium, ventricular layer;BrainSpMouseDev|14502",OMIM|608863,PDPN,,,PDPN
MYADM,MYADM,1.34903,0,Unclassified,"BrainSpLMD|91663;Eurexp|euxassay_004288|femur, footplate, forelimb, hindlimb, mesenchyme, tail",OMIM|609959,MYADM,,,MYADM
GEM,GEM,1.34766,4.24e-12,G protein,"BrainSpLMD|2669;Eurexp|euxassay_003192|adrenal gland, clavicle, dorsal grey horn, incisor, molar, oesophagus, testis, ventricular layer, vibrissa",OMIM|600164,GEM,,,GEM
DNAJC1,DNAJC1,1.34621,0,Chaperone,BrainSpLMD|64215,OMIM|611207,DNAJC1,,,DNAJC1
DUSP10,DUSP10,1.33956,0,Enzyme: Phosphatase;Enzyme: Phosphohydrolase,BrainSpLMD|11221,OMIM|608867,DUSP10,,,DUSP10
ECHDC2,ECHDC2,1.33854,1.21e-08,Unclassified,BrainSpLMD|55268,"",ECHDC2,,,ECHDC2
NBPF14,NBPF14,1.32924,0,Unclassified,"",OMIM|614003,NBPF14,,,NBPF14
MYO6,MYO6,1.3289,0,Motor protein,BrainSpLMD|4646,"OMIM|600970;HPO|4646|Autosomal dominant inheritance, Autosomal recessive inheritance, Bilateral sensorineural hearing impairment, Progressive sensorineural hearing impairment",MYO6,,,MYO6
GRB14,GRB14,1.32564,0,Adapter molecule,"BrainSpLMD|2888;Eurexp|euxassay_012213|dorsal root ganglion, mantle layer, nucleus pulposus, trigeminal V",OMIM|601524,GRB14,,,GRB14
ANXA2,ANXA2,1.32282,0,Calcium binding protein,"BrainSpLMD|302;Eurexp|euxassay_013682|basal plate, mantle layer, ventral grey horn;BrainSpMouseDev|12091",OMIM|151740,ANXA2,,,ANXA2
SRF,SRF,1.32142,1.73e-12,Transcription factor,"BrainSpLMD|6722;Eurexp|euxassay_019526|bladder, metanephros, submandibular gland primordium, urethra;BrainSpMouseDev|20569",OMIM|600589,SRF,,,SRF
C2orf72,C2orf72,1.31615,1.98e-11,Unclassified,"Eurexp|euxassay_008051|left, right, ventricular layer","",C2orf72,,,C2orf72
NKAIN3,NKAIN3,1.31397,1.21e-14,Unclassified,BrainSpLMD|286183,OMIM|612872,NKAIN3,,,NKAIN3
PARP14,PARP14,1.30757,2.48e-07,Unclassified,BrainSpLMD|54625,OMIM|610028,PARP14,,,PARP14
LRRTM3,LRRTM3,1.30444,1.43e-13,Integral membrane protein,"BrainSpLMD|347731;Eurexp|euxassay_006601|lip, mandible, mantle layer, marginal layer, maxilla, mesenchyme, midgut, palatal shelf, stomach, trigeminal V, ventral grey horn, ventricular layer, vestibulocochlear VIII, vibrissa",OMIM|610869,LRRTM3,,,LRRTM3
TIMM10B,TIMM10B,1.29791,3.03e-06,Membrane transport protein,BrainSpLMD|26515,OMIM|607388,TIMM10B,,,TIMM10B
FAM107A,FAM107A,1.29695,0,Unclassified,"BrainSpLMD|11170;Eurexp|euxassay_005179|inner ear, olfactory",OMIM|608295,FAM107A,,,FAM107A
FAM219A,FAM219A,1.29665,2.86e-14,Unclassified,BrainSpLMD|203259,"",FAM219A,,,FAM219A
CDON,CDON,1.2951,0,Cell surface receptor,BrainSpLMD|50937;BrainSpMouseDev|37081,"OMIM|608707;HPO|50937|Agenesis of corpus callosum, Autosomal dominant inheritance, Cleft lip, Cleft palate, Delayed puberty, Ectopic posterior pituitary, Failure to thrive, Global developmental delay, Holoprosencephaly, Hypoglycemia, Hypoplasia of penis, Hypotelorism, Hypothyroidism, Microcephaly, Polysplenia, Proptosis, Short stature, Sporadic, Synophrys, Thick eyebrow, Variable expressivity",CDON,,,CDON
FSTL1,FSTL1,1.29325,0,Protease inhibitor,"Eurexp|euxassay_003685|alimentary system, cardiovascular system, gland, integumental system, limb, renal/urinary system, reproductive system, respiratory system, skeleton, tail;BrainSpMouseDev|14090",OMIM|605547,FSTL1,,,FSTL1
